word,count,doc_count,idf
problem,536.0,329,1.8048447087767105
law,758.0,327,1.810942288644829
head,494.0,327,1.810942288644829
able,419.0,326,1.8140050781753747
friend,586.0,325,1.817077277212345
though,377.0,324,1.820158943749753
taken,423.0,322,1.8263509139976741
military,882.0,322,1.8263509139976741
story,548.0,321,1.8294613364120664
died,582.0,320,1.8325814637483102
early,411.0,320,1.8325814637483102
question,535.0,320,1.8325814637483102
change,538.0,319,1.8357113567572378
side,501.0,319,1.8357113567572378
seen,413.0,318,1.8388510767619055
school,858.0,318,1.8388510767619055
already,423.0,315,1.8483298207164491
six,426.0,315,1.8483298207164491
local,485.0,313,1.8546992690019293
taking,386.0,313,1.8546992690019293
become,428.0,313,1.8546992690019293
believe,416.0,313,1.8546992690019293
different,424.0,312,1.8578992717326002
court,975.0,312,1.8578992717326002
trying,419.0,312,1.8578992717326002
earlier,383.0,311,1.8611095473628483
attack,822.0,310,1.8643301620628903
agency,548.0,310,1.8643301620628903
move,409.0,310,1.8643301620628903
political,624.0,310,1.8643301620628903
yet,376.0,309,1.867561182644337
event,511.0,309,1.867561182644337
behind,394.0,305,1.8805906829346708
plan,483.0,305,1.8805906829346708
better,441.0,304,1.8838747581358606
clear,385.0,304,1.8838747581358606
across,399.0,303,1.8871696540327132
making,379.0,303,1.8871696540327132
released,432.0,302,1.8904754421672127
thought,376.0,300,1.8971199848858813
sunday,580.0,300,1.8971199848858813
charge,537.0,300,1.8971199848858813
action,454.0,298,1.9038089730366778
line,441.0,298,1.9038089730366778
working,380.0,298,1.9038089730366778
result,379.0,297,1.9071703207393829
community,574.0,296,1.9105430052180221
however,348.0,295,1.9139271032022624
big,421.0,295,1.9139271032022624
company,742.0,294,1.9173226922034008
must,432.0,294,1.9173226922034008
watch,474.0,292,1.9241486572738007
ca,371.0,290,1.9310215365615626
real,405.0,290,1.9310215365615626
york,628.0,289,1.9344757714296503
lost,405.0,288,1.9379419794061366
tell,396.0,287,1.9414202437824613
feel,435.0,287,1.9414202437824613
start,374.0,286,1.9449106487222299
person,406.0,286,1.9449106487222299
open,451.0,285,1.9484132792734319
fact,389.0,284,1.9519282213808764
keep,411.0,283,1.9554555618988447
began,348.0,283,1.9554555618988447
south,615.0,282,1.9589953886039688
le,389.0,282,1.9589953886039688
started,363.0,281,1.9625477902083366
name,407.0,280,1.9661128563728327
outside,367.0,280,1.9661128563728327
hit,429.0,280,1.9661128563728327
power,568.0,280,1.9661128563728327
decision,461.0,280,1.9661128563728327
enough,351.0,279,1.9696906777207168
'll,426.0,278,1.9732813458514453
war,665.0,277,1.976884953354744
hand,365.0,276,1.9805015938249324
ever,353.0,276,1.9805015938249324
system,580.0,275,1.984131361875511
information,492.0,273,1.9914306643571227
young,451.0,273,1.9914306643571227
play,481.0,272,1.995100393246085
kind,364.0,272,1.995100393246085
control,410.0,272,1.995100393246085
white,586.0,272,1.995100393246085
late,343.0,271,1.9987836386623816
held,364.0,269,2.006191079940243
major,369.0,269,2.006191079940243
men,504.0,269,2.006191079940243
always,383.0,269,2.006191079940243
washington,453.0,269,2.006191079940243
party,742.0,268,2.0099154790312257
john,423.0,268,2.0099154790312257
given,339.0,268,2.0099154790312257
important,351.0,268,2.0099154790312257
body,554.0,268,2.0099154790312257
run,391.0,267,2.0136538011418326
often,339.0,267,2.0136538011418326
along,324.0,266,2.017406150760383
hard,374.0,266,2.017406150760383
let,344.0,265,2.02117263355586
spokesman,405.0,265,2.02117263355586
car,514.0,264,2.0249533563957662
history,370.0,264,2.0249533563957662
job,501.0,262,2.0325579557809856
possible,309.0,262,2.0325579557809856
street,423.0,260,2.0402208285265546
record,455.0,260,2.0402208285265546
done,339.0,259,2.0440743978425444
saturday,503.0,259,2.0440743978425444
director,344.0,259,2.0440743978425444
using,339.0,258,2.047942874620465
20,309.0,258,2.047942874620465
led,299.0,256,2.05572501506252
within,307.0,256,2.05572501506252
opinion,328.0,256,2.05572501506252
north,690.0,255,2.059638914383656
step,349.0,255,2.059638914383656
game,764.0,255,2.059638914383656
wanted,353.0,255,2.059638914383656
getting,319.0,254,2.0635681925235456
lead,356.0,253,2.067512970814562
site,571.0,251,2.0754495204102983
program,506.0,251,2.0754495204102983
act,408.0,251,2.0754495204102983
minister,562.0,250,2.0794415416798357
money,402.0,250,2.0794415416798357
close,310.0,249,2.083449563077375
announced,324.0,249,2.083449563077375
future,347.0,248,2.0874737133771
live,373.0,248,2.0874737133771
%,548.0,247,2.091514122914105
wrote,372.0,247,2.091514122914105
almost,299.0,246,2.0955709236097197
despite,292.0,245,2.0996442489973552
expected,352.0,245,2.0996442489973552
obama,989.0,245,2.0996442489973552
likely,336.0,245,2.0996442489973552
happened,328.0,244,2.1037342342488805
nearly,300.0,244,2.1037342342488805
thousand,310.0,244,2.1037342342488805
near,340.0,244,2.1037342342488805
following,285.0,243,2.107841016201534
together,336.0,243,2.107841016201534
deal,428.0,242,2.111964733385396
looking,306.0,241,2.1161055260514274
chief,384.0,241,2.1161055260514274
video,616.0,241,2.1161055260514274
federal,549.0,241,2.1161055260514274
morning,296.0,241,2.1161055260514274
dead,359.0,241,2.1161055260514274
business,451.0,240,2.120263536200091
involved,292.0,240,2.120263536200091
minute,495.0,240,2.120263536200091
shot,528.0,240,2.120263536200091
organization,336.0,240,2.120263536200091
small,301.0,239,2.1244389076105716
matter,324.0,239,2.1244389076105716
try,314.0,238,2.1286317858706076
continue,291.0,238,2.1286317858706076
talk,396.0,238,2.1286317858706076
stop,318.0,238,2.1286317858706076
coming,278.0,237,2.132842318406951
reason,281.0,236,2.137070654516472
university,468.0,236,2.137070654516472
officer,613.0,236,2.137070654516472
win,519.0,235,2.1413169453979233
human,463.0,235,2.1413169453979233
'd,346.0,232,2.1541650878757723
course,319.0,232,2.1541650878757723
america,397.0,232,2.1541650878757723
read,358.0,232,2.1541650878757723
gave,272.0,232,2.1541650878757723
order,334.0,231,2.158484749020289
level,350.0,231,2.158484749020289
father,435.0,230,2.162823150618887
foreign,416.0,230,2.162823150618887
free,324.0,230,2.162823150618887
old,312.0,229,2.1671804559878427
third,313.0,229,2.1671804559878427
saw,317.0,229,2.1671804559878427
incident,388.0,228,2.1715568305876416
return,304.0,228,2.1715568305876416
air,404.0,228,2.1715568305876416
front,289.0,228,2.1715568305876416
general,337.0,228,2.1715568305876416
anything,273.0,228,2.1715568305876416
comment,335.0,228,2.1715568305876416
investigation,419.0,227,2.1759524420606797
sure,288.0,226,2.1803674602697964
situation,318.0,226,2.1803674602697964
process,320.0,225,2.184802057337662
condition,320.0,225,2.184802057337662
role,311.0,224,2.1892564076870427
ground,303.0,222,2.198225077669803
someone,307.0,222,2.198225077669803
although,249.0,221,2.2027397580243293
whose,247.0,220,2.207274913189721
full,265.0,220,2.207274913189721
social,447.0,219,2.2118307297255817
claim,365.0,218,2.2164073967529934
son,456.0,218,2.2164073967529934
cause,286.0,217,2.221005106001623
inside,293.0,217,2.221005106001623
love,411.0,216,2.2256240518579173
key,295.0,216,2.2256240518579173
care,426.0,215,2.2302644314144198
nothing,244.0,214,2.234926444520231
soon,255.0,213,2.239610293832657
30,248.0,213,2.239610293832657
health,560.0,213,2.239610293832657
west,369.0,213,2.239610293832657
based,266.0,212,2.24431618487007
accused,313.0,212,2.24431618487007
seven,278.0,212,2.24431618487007
final,396.0,211,2.249044326066016
anyone,246.0,211,2.249044326066016
!,503.0,211,2.249044326066016
word,317.0,211,2.249044326066016
large,265.0,210,2.2537949288246137
victim,446.0,210,2.2537949288246137
mother,404.0,210,2.2537949288246137
view,291.0,210,2.2537949288246137
turn,262.0,210,2.2537949288246137
mile,335.0,209,2.2585682075772713
reporter,299.0,209,2.2585682075772713
town,372.0,208,2.2633643798407643
star,319.0,208,2.2633643798407643
hospital,435.0,208,2.2633643798407643
region,395.0,208,2.2633643798407643
1,288.0,207,2.2681836662767134
campaign,456.0,207,2.2681836662767134
capital,299.0,207,2.2681836662767134
policy,392.0,207,2.2681836662767134
moment,269.0,207,2.2681836662767134
building,420.0,207,2.2681836662767134
term,290.0,207,2.2681836662767134
instead,240.0,206,2.2730262907525014
idea,286.0,206,2.2730262907525014
living,290.0,206,2.2730262907525014
became,259.0,206,2.2730262907525014
expressed,219.0,206,2.2730262907525014
leave,278.0,206,2.2730262907525014
received,276.0,205,2.277892480403674
killing,328.0,204,2.282782465697866
everything,250.0,204,2.282782465697866
wife,364.0,203,2.287696480500295
half,288.0,203,2.287696480500295
phone,400.0,203,2.287696480500295
sent,259.0,202,2.2926347621408776
strong,256.0,202,2.2926347621408776
website,290.0,202,2.2926347621408776
brought,233.0,201,2.2975975514830065
actually,259.0,201,2.2975975514830065
decade,253.0,201,2.2975975514830065
water,584.0,200,2.302585092994046
recently,239.0,200,2.302585092994046
hold,231.0,199,2.30759763481759
fire,495.0,199,2.30759763481759
defense,381.0,199,2.30759763481759
tried,246.0,198,2.312635428847547
release,322.0,195,2.327902900978336
15,240.0,194,2.3330443004787544
everyone,258.0,193,2.3382122706371966
fight,281.0,193,2.3382122706371966
eight,257.0,193,2.3382122706371966
message,309.0,193,2.3382122706371966
rule,282.0,192,2.3434070875143007
violence,419.0,191,2.3486290314954523
turned,228.0,190,2.3538783873815965
season,405.0,190,2.3538783873815965
2,244.0,190,2.3538783873815965
100,242.0,190,2.3538783873815965
similar,213.0,190,2.3538783873815965
age,264.0,190,2.3538783873815965
stand,227.0,190,2.3538783873815965
heard,255.0,189,2.35915544448244
mark,249.0,189,2.35915544448244
stay,239.0,188,2.364460496712133
2011,247.0,188,2.364460496712133
administration,318.0,188,2.364460496712133
experience,283.0,188,2.364460496712133
student,651.0,187,2.369793842687496
current,250.0,187,2.369793842687496
described,224.0,187,2.369793842687496
cost,319.0,186,2.375155785828881
california,339.0,186,2.375155785828881
either,210.0,186,2.375155785828881
worked,206.0,185,2.3805466344637574
attorney,409.0,185,2.3805466344637574
latest,226.0,185,2.3805466344637574
january,262.0,185,2.3805466344637574
include,223.0,185,2.3805466344637574
forward,229.0,184,2.385966701933097
david,238.0,184,2.385966701933097
meet,226.0,183,2.3914163067006613
senior,240.0,182,2.396895772465287
hundred,226.0,182,2.396895772465287
rather,208.0,181,2.4024054282762566
immediately,206.0,181,2.4024054282762566
arrested,319.0,181,2.4024054282762566
showed,218.0,180,2.407945608651872
operation,300.0,180,2.407945608651872
position,246.0,180,2.407945608651872
bring,221.0,180,2.407945608651872
challenge,248.0,180,2.407945608651872
meeting,307.0,180,2.407945608651872
british,361.0,179,2.4135166537013273
appeared,227.0,179,2.4135166537013273
evidence,326.0,179,2.4135166537013273
special,236.0,179,2.4135166537013273
difficult,211.0,179,2.4135166537013273
remains,244.0,178,2.419118909249997
risk,265.0,178,2.419118909249997
goal,373.0,178,2.419118909249997
detail,211.0,178,2.419118909249997
crime,356.0,178,2.419118909249997
11,239.0,178,2.419118909249997
response,249.0,178,2.419118909249997
economic,318.0,177,2.4247527269682534
interview,264.0,177,2.4247527269682534
michael,321.0,177,2.4247527269682534
medical,326.0,177,2.4247527269682534
offer,267.0,176,2.4304184645039304
figure,225.0,176,2.4304184645039304
east,249.0,176,2.4304184645039304
especially,194.0,176,2.4304184645039304
parent,356.0,176,2.4304184645039304
visit,261.0,175,2.436116485618568
black,380.0,175,2.436116485618568
due,221.0,175,2.436116485618568
london,407.0,175,2.436116485618568
heart,257.0,175,2.436116485618568
interest,241.0,175,2.436116485618568
scene,237.0,174,2.441847160327553
room,295.0,174,2.441847160327553
50,212.0,174,2.441847160327553
rest,208.0,174,2.441847160327553
2012,247.0,174,2.441847160327553
concern,239.0,173,2.4476108650443034
bad,226.0,173,2.4476108650443034
chance,240.0,173,2.4476108650443034
light,245.0,173,2.4476108650443034
felt,229.0,172,2.4534079827286295
belief,219.0,172,2.4534079827286295
helped,203.0,172,2.4534079827286295
march,236.0,172,2.4534079827286295
wo,203.0,172,2.4534079827286295
share,224.0,171,2.4592389030394224
resident,295.0,171,2.4592389030394224
tv,287.0,171,2.4592389030394224
played,230.0,170,2.4651040224918206
pay,253.0,170,2.4651040224918206
remain,206.0,170,2.4651040224918206
form,211.0,170,2.4651040224918206
12,212.0,170,2.4651040224918206
worker,317.0,170,2.4651040224918206
probably,223.0,170,2.4651040224918206
middle,221.0,169,2.4710037446190087
opportunity,214.0,169,2.4710037446190087
election,477.0,169,2.4710037446190087
player,482.0,169,2.4710037446190087
reach,192.0,169,2.4710037446190087
provide,208.0,169,2.4710037446190087
fan,391.0,168,2.4769384801388235
criminal,241.0,168,2.4769384801388235
leading,190.0,167,2.482908647125327
september,244.0,166,2.488914671185539
secretary,271.0,166,2.488914671185539
sign,247.0,165,2.494956985641502
foot,246.0,165,2.494956985641502
county,349.0,165,2.494956985641502
expert,254.0,165,2.494956985641502
believed,191.0,165,2.494956985641502
june,242.0,164,2.501036031717884
prime,319.0,164,2.501036031717884
popular,217.0,164,2.501036031717884
fighting,256.0,164,2.501036031717884
press,217.0,164,2.501036031717884
2009,212.0,164,2.501036031717884
central,233.0,163,2.50715225873532
district,236.0,163,2.50715225873532
post,261.0,163,2.50715225873532
july,242.0,163,2.50715225873532
justice,357.0,163,2.50715225873532
citizen,253.0,163,2.50715225873532
daughter,295.0,163,2.50715225873532
begin,194.0,162,2.513306124309698
kid,350.0,162,2.513306124309698
threat,286.0,162,2.513306124309698
needed,194.0,162,2.513306124309698
example,199.0,161,2.5194980945576195
longer,184.0,161,2.5194980945576195
fear,221.0,160,2.5257286443082556
charged,242.0,159,2.5319982573218507
red,261.0,159,2.5319982573218507
decided,193.0,159,2.5319982573218507
list,250.0,159,2.5319982573218507
happen,187.0,158,2.5383074265151158
knew,202.0,158,2.5383074265151158
spent,195.0,158,2.5383074265151158
includes,185.0,157,2.5446566541937745
cut,257.0,157,2.5446566541937745
failed,203.0,157,2.5446566541937745
met,188.0,157,2.5446566541937745
potential,195.0,156,2.5510464522925456
2010,205.0,156,2.5510464522925456
5,205.0,156,2.5510464522925456
growing,186.0,156,2.5510464522925456
race,372.0,155,2.557477342622836
fall,197.0,155,2.557477342622836
sense,217.0,155,2.557477342622836
weekend,219.0,155,2.557477342622836
moved,197.0,155,2.557477342622836
council,332.0,155,2.557477342622836
whole,182.0,155,2.557477342622836
ahead,199.0,154,2.563949857128453
european,294.0,153,2.570464538149647
december,205.0,153,2.570464538149647
journalist,269.0,153,2.570464538149647
issued,175.0,153,2.570464538149647
simply,181.0,152,2.5770219386958058
attention,191.0,152,2.5770219386958058
road,242.0,152,2.5770219386958058
series,235.0,152,2.5770219386958058
serious,195.0,152,2.5770219386958058
safety,265.0,152,2.5770219386958058
running,194.0,151,2.583622622727158
available,199.0,151,2.583622622727158
huge,180.0,151,2.583622622727158
source,275.0,151,2.583622622727158
november,205.0,151,2.583622622727158
40,196.0,150,2.5902671654458267
october,240.0,150,2.5902671654458267
[,243.0,150,2.5902671654458267
ask,216.0,150,2.5902671654458267
],242.0,150,2.5902671654458267
common,184.0,149,2.596956153596623
arrest,267.0,149,2.596956153596623
sometimes,171.0,149,2.596956153596623
happy,180.0,149,2.596956153596623
injury,257.0,149,2.596956153596623
society,212.0,148,2.6036901857779675
travel,281.0,148,2.6036901857779675
continued,168.0,148,2.6036901857779675
personal,208.0,148,2.6036901857779675
2008,212.0,148,2.6036901857779675
girl,326.0,148,2.6036901857779675
february,188.0,148,2.6036901857779675
couple,325.0,148,2.6036901857779675
test,270.0,148,2.6036901857779675
biggest,181.0,148,2.6036901857779675
quickly,162.0,147,2.610469872763346
global,234.0,147,2.610469872763346
study,281.0,147,2.610469872763346
civil,231.0,147,2.610469872763346
access,225.0,147,2.610469872763346
match,331.0,147,2.610469872763346
forced,175.0,147,2.610469872763346
billion,271.0,147,2.610469872763346
allow,191.0,147,2.610469872763346
break,174.0,146,2.617295837833746
understand,176.0,146,2.617295837833746
project,277.0,146,2.617295837833746
flight,482.0,146,2.617295837833746
caused,182.0,146,2.617295837833746
judge,392.0,146,2.617295837833746
protect,199.0,146,2.617295837833746
legal,259.0,146,2.617295837833746
measure,232.0,146,2.617295837833746
followed,163.0,145,2.624168717121508
meanwhile,163.0,145,2.624168717121508
effect,191.0,145,2.624168717121508
individual,200.0,145,2.624168717121508
private,195.0,145,2.624168717121508
period,164.0,145,2.624168717121508
named,174.0,145,2.624168717121508
prison,310.0,144,2.631089159966082
lawyer,261.0,144,2.631089159966082
pretty,176.0,144,2.631089159966082
toward,174.0,144,2.631089159966082
crisis,250.0,144,2.631089159966082
republican,569.0,144,2.631089159966082
single,178.0,144,2.631089159966082
border,287.0,144,2.631089159966082
barack,167.0,144,2.631089159966082
april,198.0,143,2.6380578292821752
bill,384.0,143,2.6380578292821752
image,217.0,143,2.6380578292821752
report.new,143.0,143,2.6380578292821752
included,166.0,143,2.6380578292821752
25,170.0,143,2.6380578292821752
england,212.0,143,2.6380578292821752
3,184.0,143,2.6380578292821752
television,208.0,143,2.6380578292821752
online,251.0,142,2.645075401940822
answer,190.0,142,2.645075401940822
wrong,195.0,142,2.645075401940822
vote,373.0,141,2.652142569163914
leaving,165.0,141,2.652142569163914
union,247.0,141,2.652142569163914
gone,167.0,141,2.652142569163914
playing,211.0,141,2.652142569163914
create,178.0,141,2.652142569163914
dozen,168.0,141,2.652142569163914
mind,165.0,141,2.652142569163914
network,244.0,140,2.659260036932778
18,167.0,140,2.659260036932778
battle,196.0,140,2.659260036932778
note,183.0,140,2.659260036932778
boy,284.0,140,2.659260036932778
activity,179.0,140,2.659260036932778
solely,141.0,140,2.659260036932778
staff,201.0,140,2.659260036932778
board,245.0,140,2.659260036932778
account,187.0,140,2.659260036932778
champion,307.0,139,2.6664285264113907
research,212.0,139,2.6664285264113907
photo,244.0,139,2.6664285264113907
brother,230.0,139,2.6664285264113907
short,157.0,139,2.6664285264113907
true,175.0,139,2.6664285264113907
sport,262.0,138,2.6736487743848776
2007,189.0,138,2.6736487743848776
market,297.0,138,2.6736487743848776
al,467.0,138,2.6736487743848776
voice,215.0,138,2.6736487743848776
development,188.0,137,2.6809215337139576
spoke,157.0,137,2.6809215337139576
seems,164.0,137,2.6809215337139576
calling,162.0,137,2.6809215337139576
main,166.0,137,2.6809215337139576
weapon,325.0,137,2.6809215337139576
attempt,175.0,137,2.6809215337139576
summer,196.0,137,2.6809215337139576
injured,205.0,136,2.6882475738060303
written,159.0,136,2.6882475738060303
damage,221.0,136,2.6882475738060303
career,181.0,136,2.6882475738060303
fellow,168.0,136,2.6882475738060303
executive,182.0,136,2.6882475738060303
confirmed,176.0,136,2.6882475738060303
committee,267.0,135,2.695627681103653
allowed,179.0,135,2.695627681103653
ready,169.0,135,2.695627681103653
address,181.0,135,2.695627681103653
station,230.0,135,2.695627681103653
august,191.0,135,2.695627681103653
economy,286.0,134,2.703062659591171
else,160.0,134,2.703062659591171
pressure,162.0,134,2.703062659591171
stage,233.0,134,2.703062659591171
shooting,348.0,134,2.703062659591171
food,297.0,134,2.703062659591171
beginning,143.0,134,2.703062659591171
nearby,157.0,134,2.703062659591171
field,187.0,134,2.703062659591171
safe,188.0,134,2.703062659591171
sound,170.0,134,2.703062659591171
doctor,318.0,134,2.703062659591171
claimed,160.0,133,2.7105533313203285
amount,156.0,133,2.7105533313203285
looked,160.0,133,2.7105533313203285
returned,158.0,133,2.7105533313203285
hear,159.0,133,2.7105533313203285
suspect,271.0,133,2.7105533313203285
date,182.0,133,2.7105533313203285
focus,165.0,133,2.7105533313203285
picture,172.0,133,2.7105533313203285
book,288.0,133,2.7105533313203285
victory,231.0,133,2.7105533313203285
democratic,240.0,133,2.7105533313203285
china,585.0,132,2.7181005369557116
largest,169.0,132,2.7181005369557116
passed,155.0,132,2.7181005369557116
eye,166.0,132,2.7181005369557116
impact,197.0,132,2.7181005369557116
carried,166.0,132,2.7181005369557116
twitter,210.0,132,2.7181005369557116
addition,141.0,132,2.7181005369557116
congress,260.0,131,2.725705136340931
opposition,276.0,131,2.725705136340931
door,188.0,131,2.725705136340931
loss,185.0,131,2.725705136340931
beyond,145.0,131,2.725705136340931
suffered,165.0,131,2.725705136340931
title,240.0,131,2.725705136340931
prosecutor,289.0,130,2.7333680090865
significant,148.0,130,2.7333680090865
talking,169.0,130,2.7333680090865
previous,145.0,130,2.7333680090865
carry,153.0,129,2.7410900551804103
success,176.0,129,2.7410900551804103
target,202.0,129,2.7410900551804103
consider,150.0,129,2.7410900551804103
considered,144.0,129,2.7410900551804103
created,152.0,129,2.7410900551804103
commentary,137.0,128,2.7488721956224653
conference,178.0,128,2.7488721956224653
europe,217.0,127,2.756715373083491
arrived,156.0,127,2.756715373083491
alone,147.0,127,2.756715373083491
southern,174.0,127,2.756715373083491
responsibility,178.0,127,2.756715373083491
drug,352.0,127,2.756715373083491
14,179.0,127,2.756715373083491
majority,172.0,127,2.756715373083491
adding,145.0,127,2.756715373083491
reached,150.0,126,2.7646205525906042
finally,149.0,126,2.7646205525906042
served,175.0,126,2.7646205525906042
film,331.0,126,2.7646205525906042
daily,179.0,126,2.7646205525906042
ended,138.0,126,2.7646205525906042
present,151.0,126,2.7646205525906042
percent,264.0,126,2.7646205525906042
san,250.0,126,2.7646205525906042
emergency,252.0,126,2.7646205525906042
avoid,144.0,125,2.772588722239781
movie,270.0,125,2.772588722239781
island,315.0,125,2.772588722239781
page,185.0,125,2.772588722239781
finding,145.0,125,2.772588722239781
college,189.0,125,2.772588722239781
army,266.0,125,2.772588722239781
starting,136.0,125,2.772588722239781
